Nom;Libellé;gest
menu-auth-permissions;Permissions;
menu-auth-roles;Les Roles;
menu-auth-users;Utilisateurs;
menu-calls-dashboard;Appels;
menu-calls-dashboard-1;Tbl. Bord Appels;
menu-consultant-create-expense;Créer une note de frais;
menu-consultant-create-leave-request;Créer une demande de congé;
menu-consultant-create-timesheet;Créer une feuille de temps;
menu-consultant-dashbord;Mon Tableau de bord;
menu-consultant-expense;Mes notes de frais;
menu-consultant-leave-request;Mes demandes de congé;
menu-consultant-leave-request-calendar;Calendrier de mes demandes de congé;
menu-consultant-my-task;Mes Tâches;
menu-consultant-my-tickets;Mes tickets;
menu-consultant-timesheet;Mes feuilles de temps;
menu-dashboards-customers;Clients;
menu-dms;Documents;
menu-dms;Documents;
menu-dms-all;Tous les fichiers;
menu-dms-config;Configuration;
menu-dms-config-tags;Tags;
menu-dms-my;Mes fichiers;
menu-event-dashboard;Evènement;
menu-event-dashboard-one;Tbl. Bord Evènements;
menu-job-all;Les Planificateurs;
menu-job-management;Gestion des planificateurs;
menu-lead-dashboard;Piste;
menu-lead-dashboard-one;Tb Piste;
menu-mail;Messenger;
menu-mail;Messenger;
menu-mail-archive;Archivé;
menu-mail-groups;Groupes;
menu-mail-groups-all;Tous les groupes;
menu-mail-important;Important;
menu-mail-inbox;Boîte de réception;
menu-meta-group-menu-assistant;Assistant gestion des menus par groupes;
menu-meta-model;Les Modèles;
menu-meta-module;Les Modules;
menu-model;Gestion des modèles;
menu-module-management;Gestion des modules;
menu-opportunities-dashboard;Opportunités;
menu-opportunities-dashboard-1;Tb Opportunités 1;
menu-opportunities-dashboard-2;Tb Opportunités 2;
menu-opportunities-dashboard-3;Tb Opportunités 3;
menu-products-dashboard-1;Produits;
menu-purchase-dashboard-1;Acheteur;
menu-purchase-dashboard-2;Manager;
menu-purchase-dashboard-3;Purchase Orders;
menu-sale-dashboard-1;Détails vente;
menu-sale-dashboard-2;Etude CA;
menu-sale-manager-dashboard-sample;Manager;
menu-saleman-dashboard-sample;Commercial;
menu-stock-dashboard-1;Général;
menu-stock-dashboard-2;Livraisons;
menu-target-dashboard;Objectifs;
menu-target-team-dashboard;Tb Objectifs Commerciaux Equipe;
menu-target-user-dashboard;Tb Objectifs Commerciaux;
menu-tickets-dashboard;Tickets;
menu-tickets-dashboard-1;Tb Tickets 1;
menu-tickets-dashboard-2;Tb Tickets 2;
menu-view-action-menus;Les Action Menus;
menu-view-actions;Les Actions;
menu-view-all;Les Vues;
menu-view-charts;Les Graphiques;
menu-view-management;Gestion des vues;
menu-view-menus;Les Menus;
menu-view-my;Mes vues;
menu-view-selects;Les Sélections;
menu-view-translations;Les Traductions;
move-template;Modèle d'écriture;
move-template-line;Lignes de modèle d'écriture;
move-template-root;Modèle d'écriture;
move-template-type;Types de modèle d'écriture;
move-template-wizard;Ecriture à partir du modèle;
product-root-product;Produits;
product-root-product-model;Modèles de produit;
product-root-service;Services;
product-root-subscription;Abonnements;
purchase-maps-partner-suppliers;Carte géographique;
purchase-order-merge;Fusionner cmdes fournisseurs;
referential-conf;Configuration;x
referential-conf-address;Adresses;x
referential-conf-cancelreason;Raisons d'annulation;
referential-conf-industry-sector-config;Secteurs d'Activité;x
referential-conf-invoice-bank;Codes BIC;
referential-conf-invoice-rib;Coordonnées bancaires;
referential-conf-price-list;Listes de prix;
referential-conf-product-category;Catégories de produit;
referential-conf-product-family;Familles de produit;
referential-conf-tracking-number-config;N° de suivi;
referential-report;Rapports;
referential-report;Rapports;
referential-report-dashboards-customers;Clients;
referential-report-maps;Cartes géographiques;
referential-report-partner-customers;Clients;
referential-report-partner-prospects;Prospects;
referential-report-partner-suppliers;Fournisseurs;
referential-root;Référentiel;x
referential-root-contacts;Contacts;
referential-root-partners;Tiers;
referential-root-partners;Tiers;
referential-root-product-root;Produits;
sale-conf-cancelreason;Raisons d'annulation;
sale-conf-duration;Durées;
sale-maps-partner-customers;Clients;
sale-maps-partner-prospects;Prospects;
sale-order-line-subscription-to-invoiced;Abonnements à facturer;
sale-order-root-subscription;Abonnements;
sale-templates-all-templates;Tous les modèles;
sale-templates-my-templates;Mes modèles;
sale-templates-new-template;Créer un modèle;
sale.conf.tax;Taxes;
sc-root-purchase;Achats;
sc-root-purchase;Achats;
sc-root-purchase-conf;Configuration;
sc-root-purchase-conf-price-list;Listes de prix;
sc-root-purchase-contacts;Contacts;
sc-root-purchase-order-new;Nouv. Commande fournisseur;
sc-root-purchase-orders;Devis/Cmdes Fournisseurs;
sc-root-purchase-orders-lines;Lignes de commandes;
sc-root-purchase-report;Rapports;
sc-root-purchase-suppliers;Fournisseurs;
sc-root-sale;Ventes;
sc-root-sale;Ventes;
sc-root-sale-conf;Configuration;
sc-root-sale-conf-price-list;Listes de prix;
sc-root-sale-contacts;Contacts;
sc-root-sale-customers;Clients;
sc-root-sale-maps;Cartes géographiques;
sc-root-sale-new-so;Nouv. Devis/Cmde client;
